,"{'C': np.float64(0.01), 'l1_ratio': 0.5}","{'C': np.float64(0.01), 'l1_ratio': 0.9}","{'C': np.float64(0.05623413251903491), 'l1_ratio': 0.5}","{'C': np.float64(0.05623413251903491), 'l1_ratio': 0.9}","{'C': np.float64(0.31622776601683794), 'l1_ratio': 0.5}","{'C': np.float64(0.31622776601683794), 'l1_ratio': 0.9}","{'C': np.float64(1.7782794100389228), 'l1_ratio': 0.5}","{'C': np.float64(1.7782794100389228), 'l1_ratio': 0.9}","{'C': np.float64(10.0), 'l1_ratio': 0.5}","{'C': np.float64(10.0), 'l1_ratio': 0.9}"
PRO_CAT,0.0,0.0,0.0,0.0,9.662544131968047e-05,0.0,0.002141305422879283,0.0002616113806690321,0.02373902843452249,0.010022314314132174
PRO_CXCL6,0.0,0.0,0.0,0.0,0.0,0.0,0.00486028668093386,0.0002169741906582111,0.043102576937031394,0.021239165883620292
PRO_IFNA2,0.0,0.0,0.0,0.0,0.007877356721929763,0.0009879809621378649,0.026238540717426095,0.011069924778277458,0.07393612304910396,0.04892518270949537
PRO_CCL17,0.0,0.0,0.0,0.0,0.0007576037513051681,0.0004669042229757364,0.004902363601972882,0.001537750139587998,0.041295391415145974,0.020140318622248847
PRO_VIP,0.0,0.0,2.0784405251520424e-05,0.0,6.307932066588578e-05,0.0,0.00011016978193174924,0.0,0.0029865950872054897,0.00037419941639963263
PRO_CD40LG,0.0,0.0,0.0,0.0,0.0,0.0,0.00015230098612886657,8.251113604790155e-05,0.008573621846109275,0.001443110930550386
PRO_ADIPOQ,0.0,0.0,0.0,0.0,0.000973443909501953,0.00013727327245277696,0.006344291298917264,0.001582281416436134,0.03316861617186212,0.01640528549007168
PRO_SERPINA1,0.0,0.0,0.0,0.0,0.002370141103321663,0.000360618659109065,0.019253927807556383,0.005836716785936682,0.08665826490510516,0.05223737321078949
PRO_CASP3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015478011785634847,0.0003765292073733465
PRO_CLEC7A,0.0,0.0,0.000799749096908744,0.0,0.0034383881957787865,0.0009617694251187143,0.01429469335444944,0.005261856594530274,0.07088959190266404,0.03835540091269197
PRO_MMEL1,0.0,0.0,0.0,0.0,0.0,0.0,0.003180663691102837,0.0005157555627047629,0.03690949347009511,0.016253760506696815
PRO_TLR4|LY96,0.0,0.0,0.0,0.0,0.0,0.0,0.000686622885533795,6.948647413561723e-05,0.017999716493727946,0.006855572556988301
PRO_KDR,0.0,0.0,0.0,0.0,5.711264641478003e-05,0.0,0.003363510405206535,0.0006133855479537374,0.038642991221573275,0.017658738981448957
PRO_CDKN1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0018941690756601756,0.0003446941324502192,0.04688374486005675,0.018775673830460603
PRO_TNFRSF4,0.0,0.0,0.0,0.0,2.774245786897818e-05,0.0,0.00047403062272638203,0.0003368166778465829,0.015024694298803822,0.005486002300687097
PRO_PTGS2,0.0,0.0,0.0,0.0,0.0,0.0,0.0015484977209247832,0.00018514737203998704,0.02360570931424994,0.009537130867289755
PRO_TEK,0.0,0.0,0.0,0.0,0.00018163160513931092,0.0,0.0026842857710417897,0.0011690269337239622,0.023858835963389845,0.01072285439812164
PRO_CA9,0.0,0.0,0.0,0.0,0.0,0.0,0.0006219693017579891,0.00014933273998808563,0.0356992072964205,0.012834471250945424
PRO_FGF23,0.0,0.0,0.0,0.0,0.0,0.0,0.0013565997046954825,0.0,0.04194236066861435,0.015648006852542987
PRO_FYN,0.0,0.0,0.0,0.0,0.0005957023181849876,0.0,0.0031203516366739123,0.000918338777949857,0.021898193853314516,0.009833188212320139
PRO_PRKCQ,0.0,0.0,0.0,0.0,0.0,0.0,0.00010566448526423392,0.0,0.005639494133231344,0.001380550054110495
PRO_MAPK8,0.0,0.0,0.0,0.0,0.0,0.0,0.0022526481371391194,0.0001104799488595956,0.03028555713317597,0.014537443639677971
PRO_PTEN,0.0,0.0,0.0,0.0,0.001772613733833863,0.0,0.011475093162318093,0.0032913856411612335,0.05590310718756856,0.032409488887125706
PRO_TLR2,0.0,0.0,0.0,0.0,0.0,0.0,0.000589031402950893,0.00015339906875947248,0.020413650926948194,0.0067437486505251545
PRO_PRDX1,0.0,0.0,0.0,0.0,0.0,0.0,0.00012008989263740993,0.0,0.013237937302364533,0.003970142057065301
PRO_PSMA6,0.0,0.0,0.0004468768466529852,0.00011845348162118124,0.0004140128864867742,0.00011283525762065633,0.00017368531367241663,4.9779589520795304e-05,0.004014010307166089,0.00045076059107067756
PRO_TPO,0.0,0.0,0.0,0.0,0.0,0.0,0.0003591940222747656,4.7882374900729554e-05,0.024808381820387644,0.007651158976503087
PRO_UBE2L3,0.0,0.0,0.0,0.0,0.00013675471628154677,0.0,6.749632566774546e-05,0.0,0.004312219111624104,0.0007933264455828241
PRO_KPNB1,0.0,0.0,0.0,0.0,0.0,0.0,0.00014630448521155015,1.0655961413822577e-05,0.007911832598762993,0.002694411910747152
PRO_AGER,0.0,0.0,0.0,0.0,0.0,0.0,0.002491650981967047,0.0003431835217313572,0.047357813742019576,0.020341640065484126
PRO_C6,0.0,0.0,0.0,0.0,0.0010296205341702668,0.0,0.007607991832785614,0.001972611131423739,0.04631431689127452,0.024424747101475876
PRO_CCL24,0.0,0.0,0.0,0.0,0.00017895811820189793,0.0,0.0030718771659739045,0.0006995967382493636,0.029547447645087068,0.01293091587716899
PRO_CFB,0.0,0.0,0.0,0.0,0.0,0.0,0.0003074672299719883,0.0,0.014350923248125485,0.00379333036825375
PRO_IL20,0.0,0.0,0.0,0.0,0.0,0.0,0.00024629804835000504,0.0,0.01875062812273938,0.003763440900894944
PRO_CXCL10,0.0,0.0,0.0,0.0,0.0,0.0,0.003270143671186592,0.0004640678164512816,0.03578671555501755,0.017008192077166466
PRO_NTF3,0.0,0.0,0.0,0.0,0.0,0.0,0.0012979421300776362,0.0005342262048820829,0.02500033881285973,0.00908418108257702
PRO_NTF4,0.0,0.0,0.0,0.0,0.00015560891985441077,0.0,0.005114099719006422,0.0008485125061745071,0.04618212272058828,0.024250518303949732
PRO_PDGFB,0.0,0.0,0.0,0.0,0.0,0.0,0.0009612909474092967,4.159422363418625e-05,0.014152261591004913,0.00471832152591871
PRO_SELP,0.0,0.0,0.009807700295088796,7.408534178651263e-05,0.02648291859287575,0.009898105694051133,0.047188034837709975,0.02402907464614046,0.11256633270071909,0.07605635816640276
PRO_TGFB2,0.0,0.0,0.0,0.0,0.0,0.0,0.00022021982449172263,0.0,0.02612844905627638,0.009016280767049124
PRO_PLAU,0.0,0.0,0.0,0.0,9.035779007572159e-05,0.0,0.002792744024287343,0.0006449786165000536,0.04048556819546388,0.016707356310400264
PRO_CFH,0.0,0.0,0.0,0.0,0.0,0.0,0.0017851743321292155,0.0001439577567421008,0.04603604062876339,0.01860231601502925
PRO_MMP2,0.0,0.0,0.0,0.0,2.083645045556396e-05,0.0,0.0033397048897947823,0.00039034666336700317,0.043438884990560464,0.021707887018194923
PRO_TF,0.0,0.0,0.0,0.0,0.0,0.0,0.0029386176145930025,0.0003130531457002198,0.04463610769102015,0.021442734795274376
PRO_IGF1R,0.0,0.0,0.0,0.0,0.00022463977238867158,3.705177032449736e-05,0.0012501109075439998,0.000193483114783762,0.023826690725125943,0.01012248475224805
PRO_IL1RL1,0.0,0.0,0.0,0.0,0.0004883796830553997,0.0,0.011109524162918,0.0025516632925638885,0.06533769429923456,0.034014127766940225
PRO_PON1,0.0,0.0,0.0,0.0,0.00020251277788407585,0.0,0.0009344146332564946,0.00017469312700308938,0.007729613948114096,0.0029535658105861386
PRO_RAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004290961389817547,0.0009429069119861693
PRO_PTPN6,0.0,0.0,0.0,0.0,0.0,0.0,0.0006710383615428558,0.00024379070338006672,0.013334897633620514,0.004572845518538799
PRO_AMN,0.0,0.0,0.0,0.0,0.0013768294718626492,0.00011319454750686667,0.009881696711142002,0.0033455662386144757,0.05553767322251383,0.02816456013271758
PRO_CRP,0.0,0.0,0.0,0.0,0.000177211737138723,0.0,0.0011802665352881221,0.00032753023121444004,0.02062582220344895,0.007850081223719892
PRO_ICAM1,0.0,0.0,0.0,0.0,0.0,0.0,0.002354925547274706,0.0,0.04455089030183537,0.01985794862580604
PRO_BCL2L1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002019374289517026,0.0002518944807208404
PRO_FCRL3,0.0,0.0,0.0,0.0,0.0,0.0,0.0004430057983460763,0.0,0.037294573644917395,0.011692162088620995
