,"{'C': np.float64(0.01), 'l1_ratio': 0.5}","{'C': np.float64(0.01), 'l1_ratio': 0.9}","{'C': np.float64(0.05623413251903491), 'l1_ratio': 0.5}","{'C': np.float64(0.05623413251903491), 'l1_ratio': 0.9}","{'C': np.float64(0.31622776601683794), 'l1_ratio': 0.5}","{'C': np.float64(0.31622776601683794), 'l1_ratio': 0.9}","{'C': np.float64(1.7782794100389228), 'l1_ratio': 0.5}","{'C': np.float64(1.7782794100389228), 'l1_ratio': 0.9}","{'C': np.float64(10.0), 'l1_ratio': 0.5}","{'C': np.float64(10.0), 'l1_ratio': 0.9}"
unstim_Granulocytes_166Er_NFkB,0.0,0.0,0.01,0.0,0.1,0.03333333333333333,0.15,0.09333333333333334,0.4533333333333333,0.24333333333333335
unstim_intMC_149Sm_CREB,0.0,0.0,0.0,0.0,0.006666666666666667,0.0,0.03,0.006666666666666667,0.30333333333333334,0.09
unstim_intMC_155Gd_S6,0.0,0.0,0.0,0.0,0.03333333333333333,0.0033333333333333335,0.08333333333333333,0.03,0.36333333333333334,0.14666666666666667
unstim_intMC_159Tb_MAPKAPK2,0.0,0.0,0.0,0.0,0.0033333333333333335,0.0033333333333333335,0.02666666666666667,0.0033333333333333335,0.47333333333333333,0.16333333333333333
unstim_intMC_164Dy_IkB,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.2633333333333333,0.08666666666666667
unstim_intMC_166Er_NFkB,0.0,0.0,0.0,0.0,0.006666666666666667,0.0,0.03333333333333333,0.006666666666666667,0.23,0.09333333333333334
unstim_mDC_149Sm_CREB,0.0,0.0,0.0,0.0,0.0,0.0,0.0033333333333333335,0.0,0.28,0.08333333333333333
unstim_mDC_154Sm_STAT3,0.0,0.0,0.0,0.0,0.006666666666666667,0.0033333333333333335,0.043333333333333335,0.006666666666666667,0.37666666666666665,0.13666666666666666
unstim_mDC_155Gd_S6,0.0,0.0,0.016666666666666666,0.0,0.25,0.09,0.42,0.24,0.7233333333333334,0.55
unstim_mDC_159Tb_MAPKAPK2,0.0,0.0,0.0033333333333333335,0.0,0.08333333333333333,0.02,0.18333333333333332,0.08,0.5833333333333334,0.3466666666666667
unstim_mDC_164Dy_IkB,0.0,0.0,0.0033333333333333335,0.0,0.17,0.06666666666666667,0.3333333333333333,0.21,0.67,0.44666666666666666
unstim_mDC_166Er_NFkB,0.0,0.0,0.0,0.0,0.04666666666666667,0.0,0.11666666666666667,0.056666666666666664,0.49333333333333335,0.27666666666666667
unstim_MDSC_149Sm_CREB,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.0,0.20666666666666667,0.06333333333333334
unstim_MDSC_154Sm_STAT3,0.0,0.0,0.0,0.0,0.01,0.0,0.04666666666666667,0.01,0.3433333333333333,0.17333333333333334
unstim_MDSC_155Gd_S6,0.0,0.0,0.0,0.0,0.05,0.0033333333333333335,0.10666666666666667,0.03666666666666667,0.5033333333333333,0.24
unstim_MDSC_159Tb_MAPKAPK2,0.0,0.0,0.0,0.0,0.0033333333333333335,0.0,0.023333333333333334,0.0,0.45,0.13
unstim_MDSC_164Dy_IkB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16333333333333333,0.03
unstim_MDSC_166Er_NFkB,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0033333333333333335,0.35,0.15333333333333332
unstim_ncMC_149Sm_CREB,0.0,0.0,0.0,0.0,0.0033333333333333335,0.0,0.04666666666666667,0.0033333333333333335,0.44666666666666666,0.2
unstim_ncMC_159Tb_MAPKAPK2,0.0,0.0,0.0,0.0,0.03333333333333333,0.0033333333333333335,0.09666666666666666,0.043333333333333335,0.5433333333333333,0.26
unstim_ncMC_164Dy_IkB,0.0,0.0,0.0033333333333333335,0.0,0.0033333333333333335,0.0033333333333333335,0.05,0.006666666666666667,0.38,0.16333333333333333
unstim_ncMC_166Er_NFkB,0.0,0.0,0.0,0.0,0.0,0.0,0.013333333333333334,0.0,0.43333333333333335,0.14666666666666667
unstim_NK_149Sm_CREB,0.0,0.0,0.0,0.0,0.006666666666666667,0.0,0.016666666666666666,0.006666666666666667,0.21333333333333335,0.07
unstim_NK_159Tb_MAPKAPK2,0.0,0.0,0.0,0.0,0.0033333333333333335,0.0,0.023333333333333334,0.006666666666666667,0.29333333333333333,0.10333333333333333
unstim_NK_164Dy_IkB,0.0,0.0,0.0,0.0,0.006666666666666667,0.0,0.016666666666666666,0.0,0.30666666666666664,0.09666666666666666
unstim_NK_166Er_NFkB,0.0,0.0,0.006666666666666667,0.0,0.11666666666666667,0.03,0.22666666666666666,0.11,0.53,0.30333333333333334
unstim_NKT_149Sm_CREB,0.0,0.0,0.0,0.0,0.006666666666666667,0.0033333333333333335,0.03333333333333333,0.006666666666666667,0.31,0.11666666666666667
unstim_NKT_159Tb_MAPKAPK2,0.0,0.0,0.0,0.0,0.01,0.0,0.04666666666666667,0.013333333333333334,0.4033333333333333,0.19
unstim_NKT_164Dy_IkB,0.0,0.0,0.0,0.0,0.04,0.006666666666666667,0.08,0.023333333333333334,0.39666666666666667,0.19666666666666666
